Date,Open,High,Low,Close,Adj Close,Volume
2018-01-25,10.000000,10.740000,9.600000,9.920000,9.920000,1071200
2018-01-26,9.950000,10.200000,9.900000,9.950000,9.950000,334100
2018-01-29,10.040000,10.100000,9.900000,9.940000,9.940000,35600
2018-01-30,9.900000,9.960000,9.600000,9.600000,9.600000,64600
2018-01-31,9.560000,9.770000,9.550000,9.590000,9.590000,31600
2018-02-01,9.550000,9.700000,8.670000,9.110000,9.110000,64300
2018-02-02,9.000000,9.420000,9.000000,9.050000,9.050000,17900
2018-02-05,9.130000,9.590000,8.960000,8.990000,8.990000,31300
2018-02-06,8.550000,8.900000,8.504000,8.570000,8.570000,17200
2018-02-07,8.510000,8.990000,8.500000,8.590000,8.590000,9300
2018-02-08,8.510000,8.990000,8.510000,8.870000,8.870000,34600
2018-02-09,8.860000,9.140000,8.850000,9.100000,9.100000,12800
2018-02-12,9.290000,9.290000,8.850000,8.850000,8.850000,4400
2018-02-13,9.280000,9.280000,8.850000,9.000000,9.000000,6200
2018-02-14,8.860000,9.168000,8.769000,8.880000,8.880000,5000
2018-02-15,9.100000,9.250000,7.321000,8.750000,8.750000,8800
2018-02-16,8.950000,9.200000,8.700000,9.000000,9.000000,4000
2018-02-20,9.550000,9.740000,9.420000,9.490000,9.490000,16100
2018-02-21,9.691000,10.100000,9.510000,9.900000,9.900000,69500
2018-02-22,10.000000,10.200000,9.500000,9.500000,9.500000,26700
2018-02-23,9.520000,9.550000,9.180000,9.550000,9.550000,6100
2018-02-26,9.490000,9.490000,9.130000,9.430000,9.430000,19500
2018-02-27,9.502000,9.525000,9.140000,9.190000,9.190000,12400
2018-02-28,9.200000,9.440000,8.950000,9.400000,9.400000,6800
2018-03-01,9.030000,9.350000,7.930000,8.800000,8.800000,9100
2018-03-02,8.993000,8.993000,8.610000,8.640000,8.640000,500
2018-03-05,8.540000,9.200000,8.509000,8.950000,8.950000,5800
2018-03-06,9.250000,9.611000,8.010000,9.300000,9.300000,14800
2018-03-07,8.450000,9.087000,8.000000,9.050000,9.050000,18500
2018-03-08,8.950000,9.190000,8.900000,9.190000,9.190000,21000
2018-03-09,9.002000,9.330000,8.890000,9.241000,9.241000,11800
2018-03-12,9.500000,9.500000,8.640000,9.045000,9.045000,14000
2018-03-13,8.720000,9.160000,8.640000,9.010000,9.010000,8600
2018-03-14,9.000000,9.395000,8.830000,8.830000,8.830000,13200
2018-03-15,8.980000,9.185000,8.660000,8.780000,8.780000,7600
2018-03-16,8.650000,9.079000,8.510000,8.510000,8.510000,39500
2018-03-19,8.640000,8.800000,8.410000,8.410000,8.410000,20400
2018-03-20,8.560000,8.560000,8.060000,8.110000,8.110000,6700
2018-03-21,8.150000,8.745000,8.150000,8.500000,8.500000,4000
2018-03-22,8.570000,8.710000,8.500000,8.500000,8.500000,4500
