Date,Open,High,Low,Close,Adj Close,Volume
2019-10-25,9.000000,10.000000,8.580000,10.000000,10.000000,971500
2019-10-28,10.250000,10.670000,9.990000,10.010000,10.010000,285700
2019-10-29,10.010000,10.780000,9.590000,10.510000,10.510000,151800
2019-10-30,10.530000,10.790000,10.280000,10.650000,10.650000,107500
2019-10-31,10.640000,10.740000,10.110000,10.500000,10.500000,115000
2019-11-01,10.510000,10.910000,10.100000,10.750000,10.750000,157500
2019-11-04,11.000000,11.450000,10.800000,11.000000,11.000000,340300
2019-11-05,11.110000,11.380000,11.000000,11.000000,11.000000,96900
2019-11-06,11.170000,11.205000,10.460000,11.000000,11.000000,91200
2019-11-07,11.000000,11.190000,10.700000,11.000000,11.000000,101400
2019-11-08,11.110000,11.200000,10.980000,11.120000,11.120000,127400
2019-11-11,11.150000,13.920000,11.010000,13.920000,13.920000,173400
2019-11-12,13.750000,14.460000,11.160000,11.770000,11.770000,104800
2019-11-13,11.750000,13.015000,11.230000,12.700000,12.700000,37200
2019-11-14,12.470000,13.979000,12.090000,13.160000,13.160000,135300
2019-11-15,13.390000,14.250000,12.551000,14.000000,14.000000,79900
2019-11-18,13.480000,15.110000,12.570000,13.790000,13.790000,51600
2019-11-19,13.640000,18.280001,13.640000,17.709999,17.709999,109800
2019-11-20,17.879999,18.105000,15.860000,16.469999,16.469999,77400
2019-11-21,16.490000,16.893000,13.880000,14.570000,14.570000,48900
2019-11-22,14.490000,14.540000,13.035000,13.250000,13.250000,47600
2019-11-25,13.220000,13.850000,13.022000,13.200000,13.200000,50100
2019-11-26,13.010000,13.819000,12.380000,12.600000,12.600000,80900
2019-11-27,12.510000,13.450000,12.350000,12.870000,12.870000,89900
2019-11-29,12.760000,13.970000,12.760000,13.700000,13.700000,31100
2019-12-02,13.820000,14.980000,13.720000,14.710000,14.710000,80100
2019-12-03,14.580000,14.850000,13.720000,13.720000,13.720000,57300
2019-12-04,14.000000,14.890000,12.320000,13.390000,13.390000,73700
2019-12-05,13.290000,14.230000,11.480000,12.160000,12.160000,52500
2019-12-06,12.000000,12.380000,10.050000,10.210000,10.210000,92300
2019-12-09,10.210000,10.817000,9.040000,9.110000,9.110000,73300
2019-12-10,9.030000,9.136000,8.090000,8.210000,8.210000,101200
2019-12-11,9.170000,9.540000,8.160000,8.180000,8.180000,134000
2019-12-12,8.180000,8.402000,7.555000,7.880000,7.880000,57500
2019-12-13,7.860000,8.466000,7.760000,7.990000,7.990000,51700
2019-12-16,8.000000,9.120000,7.750000,8.470000,8.470000,126800
2019-12-17,8.560000,9.729000,8.560000,9.570000,9.570000,79000
2019-12-18,9.460000,10.487000,9.110000,9.160000,9.160000,84900
2019-12-19,9.160000,9.849000,8.580000,8.580000,8.580000,77800
2019-12-20,8.490000,11.433000,8.490000,10.130000,10.130000,765000
2019-12-23,10.210000,14.406000,10.210000,13.560000,13.560000,233200
2019-12-24,13.640000,14.035000,12.900000,13.250000,13.250000,39200
2019-12-26,13.300000,14.140000,13.005000,13.790000,13.790000,102300
2019-12-27,13.770000,14.070000,12.790000,13.820000,13.820000,330300
2019-12-30,13.980000,14.240000,13.360000,13.990000,13.990000,91000
2019-12-31,13.990000,14.500000,13.700000,13.970000,13.970000,121300
2020-01-02,14.070000,14.202000,12.770000,13.900000,13.900000,143300
2020-01-03,13.680000,14.120000,13.490000,13.880000,13.880000,91600
