Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,15.500000,16.930000,15.000000,16.150000,16.150000,1869500
2017-09-29,16.150000,19.950001,16.150000,18.370001,18.370001,413300
2017-10-02,18.540001,18.540001,16.900000,18.049999,18.049999,105900
2017-10-03,18.110001,18.983999,18.049999,18.610001,18.610001,217500
2017-10-04,18.600000,19.443001,18.299999,18.719999,18.719999,120200
2017-10-05,19.200001,19.870001,17.500000,17.900000,17.900000,202400
2017-10-06,18.150000,18.250000,16.590000,17.000000,17.000000,218400
2017-10-09,16.860001,17.850000,16.010000,16.530001,16.530001,53900
2017-10-10,16.299999,16.980000,16.049999,16.250000,16.250000,57900
2017-10-11,16.889999,16.889999,15.300000,15.490000,15.490000,20500
2017-10-12,15.575000,15.575000,14.060000,14.450000,14.450000,286600
2017-10-13,14.350000,14.630000,14.000000,14.380000,14.380000,106000
2017-10-16,14.420000,14.700000,14.080000,14.210000,14.210000,83500
2017-10-17,14.520000,14.520000,13.050000,14.050000,14.050000,80900
2017-10-18,14.080000,14.540000,13.930000,14.410000,14.410000,16400
2017-10-19,14.970000,14.970000,13.790000,14.380000,14.380000,9800
2017-10-20,14.460000,14.460000,13.634000,14.080000,14.080000,43100
2017-10-23,14.340000,14.340000,13.750000,13.910000,13.910000,64300
2017-10-24,13.990000,14.500000,13.800000,13.800000,13.800000,57900
2017-10-25,14.100000,14.276000,12.710000,12.880000,12.880000,60200
2017-10-26,12.570000,13.000000,12.000000,12.500000,12.500000,125100
2017-10-27,12.600000,13.120000,11.740000,12.500000,12.500000,101100
2017-10-30,12.240000,12.750000,12.160000,12.500000,12.500000,42800
2017-10-31,12.420000,12.790000,11.030000,11.360000,11.360000,61600
2017-11-01,11.470000,12.752000,11.350000,11.890000,11.890000,97100
2017-11-02,11.610000,12.160000,10.250000,10.450000,10.450000,60800
2017-11-03,10.340000,10.650000,9.640000,10.250000,10.250000,183500
2017-11-06,10.100000,10.570000,9.990000,10.280000,10.280000,66300
2017-11-07,10.190000,11.320000,10.190000,11.000000,11.000000,46700
2017-11-08,11.160000,11.690000,11.050000,11.150000,11.150000,72000
2017-11-09,11.180000,11.600000,11.000000,11.040000,11.040000,62100
2017-11-10,11.000000,11.400000,11.000000,11.000000,11.000000,45900
2017-11-13,11.020000,11.300000,10.770000,11.020000,11.020000,37200
2017-11-14,11.050000,11.855000,10.675000,11.310000,11.310000,60500
2017-11-15,11.310000,11.450000,11.100000,11.370000,11.370000,10800
2017-11-16,11.260000,11.633000,11.030000,11.030000,11.030000,3600
2017-11-17,11.030000,11.350000,11.000000,11.310000,11.310000,27200
2017-11-20,11.000000,11.400000,10.560000,11.000000,11.000000,41100
2017-11-21,10.820000,11.580000,10.750000,11.370000,11.370000,25100
