Date,Open,High,Low,Close,Adj Close,Volume
2014-03-28,9.500000,11.450000,7.760000,10.580000,10.580000,1908500
2014-03-31,12.000000,16.000000,11.580000,14.750000,14.750000,2403900
2014-04-01,15.900000,16.440001,12.250000,12.760000,12.760000,1146000
2014-04-02,12.180000,14.250000,11.500000,13.880000,13.880000,699800
2014-04-03,15.000000,15.000000,14.000000,14.850000,14.850000,743400
2014-04-04,15.000000,15.250000,13.578000,13.740000,13.740000,483100
2014-04-07,13.810000,13.830000,12.270000,12.900000,12.900000,276800
2014-04-08,13.190000,13.190000,11.900000,12.370000,12.370000,270100
2014-04-09,12.500000,12.500000,11.330000,11.890000,11.890000,247500
2014-04-10,11.970000,12.000000,10.790000,12.000000,12.000000,349900
2014-04-11,11.920000,11.920000,11.000000,11.000000,11.000000,86600
2014-04-14,11.200000,11.560000,11.070000,11.380000,11.380000,57000
2014-04-15,11.750000,11.750000,10.590000,10.990000,10.990000,114000
2014-04-16,11.100000,11.420000,10.674000,11.160000,11.160000,79400
2014-04-17,11.480000,11.730000,11.000000,11.300000,11.300000,88300
2014-04-21,11.980000,12.550000,11.400000,12.330000,12.330000,198300
2014-04-22,12.500000,12.890000,11.350000,11.610000,11.610000,168700
2014-04-23,11.990000,11.990000,11.380000,11.490000,11.490000,89500
2014-04-24,11.700000,11.700000,11.270000,11.390000,11.390000,72400
2014-04-25,11.500000,11.890000,11.010000,11.390000,11.390000,55600
2014-04-28,11.220000,11.220000,10.360000,10.700000,10.700000,150800
2014-04-29,10.600000,11.140000,10.500000,10.685000,10.685000,65600
2014-04-30,10.500000,10.710000,10.350000,10.530000,10.530000,93800
2014-05-01,10.300000,13.150000,10.300000,13.000000,13.000000,712000
2014-05-02,13.270000,13.330000,11.260000,12.250000,12.250000,561400
2014-05-05,12.400000,12.400000,11.650000,12.190000,12.190000,107100
2014-05-06,12.000000,12.370000,11.261000,11.590000,11.590000,103100
2014-05-07,11.400000,11.640000,10.513000,10.750000,10.750000,151600
2014-05-08,10.690000,11.479000,10.650000,10.660000,10.660000,69400
2014-05-09,10.614000,11.085000,10.500000,10.730000,10.730000,58900
2014-05-12,10.900000,11.480000,10.900000,11.270000,11.270000,58700
2014-05-13,11.300000,11.900000,11.020000,11.750000,11.750000,90600
2014-05-14,11.900000,11.900000,11.000000,11.250000,11.250000,144500
2014-05-15,11.170000,11.750000,11.170000,11.399000,11.399000,12100
2014-05-16,11.630000,11.630000,11.200000,11.260000,11.260000,24900
2014-05-19,11.200000,11.400000,10.750000,10.850000,10.850000,47700
2014-05-20,10.800000,11.089000,10.800000,10.820000,10.820000,14600
2014-05-21,10.800000,11.099000,10.800000,10.910000,10.910000,13200
2014-05-22,10.867000,10.900000,10.560000,10.610000,10.610000,32900
2014-05-23,10.550000,10.780000,10.550000,10.650000,10.650000,15800
2014-05-27,10.780000,10.900000,10.589000,10.670000,10.670000,39600
2014-05-28,11.000000,12.550000,10.870000,11.770000,11.770000,400200
2014-05-29,11.800000,12.390000,11.300000,12.150000,12.150000,115100
2014-05-30,12.150000,12.150000,11.500000,11.680000,11.680000,123400
2014-06-02,11.850000,12.600000,11.680000,12.290000,12.290000,147500
2014-06-03,12.230000,12.400000,11.800000,12.390000,12.390000,45100
2014-06-04,12.440000,12.440000,10.800000,11.200000,11.200000,188700
2014-06-05,10.900000,11.640000,10.800000,11.320000,11.320000,84300
2014-06-06,11.530000,11.530000,10.900000,11.010000,11.010000,99000
2014-06-09,11.410000,11.950000,11.021000,11.720000,11.720000,70100
2014-06-10,11.590000,12.000000,11.300000,12.000000,12.000000,84200
